,0,1,2,3,4,5,6,7,8,9,10,11
164,is,very,dangerous,and,an,elephant,,,,,,
165,is,very,cumbersome,,,,,,,,,
166,where,i,live,everything,is,very,small,,,,,
167,i,need,a,sheep,,,,,,,,
168,draw,me,a,sheep,so,,,,,,,
169,i,drew,he,looked,,,,,,,,
170,carefully,then,said,no,,,,,,,,
171,this,one,s,already,very,sick,,,,,,
172,make,another,one,,,,,,,,,
173,i,drew,again,my,friend,,,,,,,
174,smiled,gently,and,indulgently,,,,,,,,
175,you,can,see,yourself,,,,,,,,
176,this,is,nt,a,sheep,it,s,a,ram,,,
177,it,has,horns,,,,,,,,,
178,so,once,again,i,redid,,,,,,,
179,my,drawing,but,it,was,rejected,,,,,,
180,like,the,previous,ones,,,,,,,,
181,this,one,s,too,old,,,,,,,
182,i,want,a,sheep,that,will,live,a,long,,,
183,time,,,,,,,,,,,
184,so,getting,impatient,as,i,was,,,,,,
185,eager,to,start,dismantling,my,engine,,,,,,
186,i,hastily,sketched,this,,,,,,,,
187,drawing,and,i,snapped,,,,,,,,
188,this,here,is,the,box,the,sheep,you,,,,
189,want,is,inside,but,i,,,,,,,
190,was,very,surprised,to,see,the,face,,,,,
191,of,my,young,judge,light,up,,,,,,
192,it,s,exactly,the,way,i,,,,,,
193,wanted,do,you,think,this,sheep,,,,,,
194,needs,a,lot,of,grass,,,,,,,
195,why,because,where,i,,,,,,,,
196,m,from,everything,is,very,small,,,,,,
197,there,will,certainly,be,enough,,,,,,,
198,i,gave,you,a,very,small,sheep,,,,,
199,he,leaned,his,head,,,,,,,,
200,towards,the,drawing,not,that,,,,,,,
201,small,look,,,,,,,,,,
202,he,s,fallen,asleep,,,,,,,,
203,and,that,s,how,i,met,the,little,prince,,,
204,,,,,,,,,,,,
205,it,took,me,a,long,time,to,find,out,,,
206,where,he,came,from,the,little,prince,,,,,
207,who,asked,me,many,questions,,,,,,,
208,never,seemed,to,hear,my,own,,,,,,
209,it,was,the,words,spoken,,,,,,,
210,by,chance,that,little,by,little,,,,,,
211,revealed,everything,to,me,,,,,,,,
212,so,when,he,saw,my,airplane,for,,,,,
213,the,first,time,i,won,t,draw,,,,,
214,my,airplane,it,would,be,a,drawing,far,,,,
215,too,complicated,for,me,he,asked,,,,,,
216,me,what,s,that,thing,,,,,,,
217,there,it,s,not,a,thing,,,,,,
218,it,flies,it,s,an,airplane,,,,,,
219,it,s,my,airplane,and,i,was,,,,,
220,proud,to,have,him,know,that,i,could,fly,,,
221,then,he,cried,,,,,,,,,
222,what,you,fell,from,the,sky,,,,,,
223,yes,i,said,modestly,,,,,,,,
