,0,1,2,3,4,5,6,7,8,9,10
232,like,to,sound,like,a,moralist,but,,,,
233,the,danger,of,the,baobabs,is,so,little,,,
234,understood,and,the,risks,run,,,,,,
235,by,anyone,who,might,get,lost,on,an,,,
236,asteroid,are,so,large,,,,,,,
237,that,for,once,i,am,breaking,my,,,,
238,normal,reserve,i,say,,,,,,,
239,children,beware,of,baobabs,,,,,,,
240,it,s,to,warn,my,,,,,,
241,friends,of,the,danger,they,ve,long,been,skirting,,
242,like,myself,without,knowing,,,,,,,
243,it,that,i,have,worked,so,hard,,,,
244,on,this,drawing,the,lesson,,,,,,
245,which,i,pass,on,by,this,means,was,,,
246,worth,the,effort,you,might,,,,,,
247,be,wondering,why,is,it,that,,,,,
248,in,this,book,there,aren,t,any,other,drawings,,
249,as,impressive,as,the,drawing,of,the,baobabs,,,
250,the,answer,is,simple,,,,,,,
251,i,tried,but,i,couldn,t,succeed,,,,
252,when,i,drew,the,baobabs,,,,,,
253,i,was,spurred,on,by,a,sense,,,,
254,of,urgency,,,,,,,,,
255,oh,little,prince,i,came,to,understand,,,,
256,gradually,in,this,way,,,,,,,
257,your,sad,life,,,,,,,,
258,for,a,long,time,your,only,,,,,
259,entertainment,was,the,softness,,,,,,,
260,of,the,sunsets,i,,,,,,,
261,learned,this,new,detail,on,the,fourth,,,,
262,day,in,the,morning,when,you,said,to,,,
263,me,i,m,very,fond,of,sunsets,,,,
264,let,s,go,and,see,a,sunset,,,,
265,now,but,we,have,to,,,,,,
266,wait,wait,for,what,,,,,,,
267,wait,until,the,sun,goes,,,,,,
268,down,you,seemed,,,,,,,,
269,surprised,at,first,and,,,,,,,
270,then,you,chuckled,at,yourself,and,you,said,,,
271,i,think,myself,at,home,still,,,,,
272,indeed,,,,,,,,,,
273,when,it,s,noon,in,the,united,states,,,
274,the,sun,everybody,knows,,,,,,,
275,is,setting,over,france,,,,,,,
276,it,would,suffice,to,be,able,to,go,to,,
277,france,in,one,minute,to,be,able,,,,
278,to,see,a,sunset,unfortunately,,,,,,
279,france,is,much,too,far,,,,,,
280,away,but,on,your,tiny,,,,,,
281,planet,all,you,needed,,,,,,,
