time,f0,intensity
5.75,197.72,0.13
5.76,199.7,0.16
5.77,201.69,0.14
5.78,203.67,0.11
5.79,205.65,0.08
5.8,207.63,0.05
5.81,209.62,0.09
5.82,207.78,0.17
5.83,200.09,0.2
5.84,197.32,0.2
5.85,196.44,0.22
5.86,196.86,0.23
5.87,194.04,0.22
5.88,192.18,0.21
5.89,191,0.2
5.9,188.19,0.16
5.91,181.71,0.08
5.92,172.09,0.02
5.93,162.47,0.04
5.94,152.86,0.1
5.95,143.24,0.11
5.96,133.62,0.06
5.97,124,0.05
5.98,114.39,0.04
5.99,104.77,0.03
6,138.51,0.13
6.01,208.43,0.22
6.02,207.86,0.21
6.03,206.73,0.18
6.04,204.89,0.22
6.05,202.65,0.26
6.06,198.12,0.25
6.07,196.93,0.19
6.08,204.23,0.13
6.09,211.53,0.18
6.1,218.83,0.25
6.11,226.13,0.29
6.12,233.43,0.29
6.13,240.73,0.22
6.14,248.03,0.19
6.15,255.33,0.2
6.16,262.63,0.2
6.17,269.93,0.19
6.18,277.23,0.17
6.19,284.53,0.17
6.2,291.83,0.17
6.21,299.13,0.18
6.22,306.43,0.16
6.23,313.73,0.12
6.24,276.02,0.23
6.25,215.24,0.29
6.26,210.95,0.29
6.27,208.59,0.3
6.28,206.9,0.29
6.29,204.65,0.29
6.3,202.65,0.29
6.31,200.78,0.28
6.32,199.26,0.28
6.33,197.67,0.28
6.34,195.59,0.29
6.35,193.75,0.27
6.36,193.29,0.25
6.37,192.92,0.24
6.38,191.56,0.24
6.39,191.05,0.24
6.4,191.34,0.23
6.41,192.39,0.21
6.42,191.62,0.18
6.43,190.5,0.12
6.44,197.66,0.06
6.45,193,0.01
6.46,194.19,0.04
6.47,212.54,0.09
6.48,213.62,0.08
6.49,214.71,0.03
6.5,215.79,0.01
6.51,216.88,0
6.52,217.97,0
6.53,219.05,0
6.54,220.14,0
6.55,221.22,0
6.56,222.31,0
6.57,223.4,0
6.58,224.48,0
6.59,225.57,0
6.6,226.65,0
6.61,227.74,0.04
6.62,228.82,0.06
6.63,229.91,0.05
6.64,231,0.04
6.65,232.08,0.04
6.66,233.17,0.04
6.67,234.25,0.03
6.68,235.34,0.03
6.69,236.43,0.02
6.7,237.51,0.02
6.71,238.6,0.07
6.72,245.57,0.2
6.73,249.73,0.28
6.74,247.05,0.32
6.75,245.78,0.33
6.76,244.03,0.32
6.77,241.65,0.32
6.78,240.13,0.31
6.79,239.03,0.3
6.8,238.42,0.3
6.81,238.32,0.29
6.82,238.75,0.31
6.83,239.68,0.31
6.84,240.59,0.31
6.85,241.61,0.32
6.86,242.37,0.31
6.87,241.68,0.32
6.88,240.68,0.31
6.89,239.76,0.29
6.9,237.51,0.26
6.91,231.36,0.18
6.92,220.52,0.13
6.93,213.93,0.1
6.94,213.23,0.1
6.95,213.56,0.09
6.96,213.89,0.07
6.97,214.22,0.05
6.98,214.55,0.04
6.99,214.88,0.06
7,215.21,0.08
7.01,215.54,0.08
7.02,215.87,0.06
7.03,216.2,0.17
7.04,217.37,0.27
7.05,212.84,0.29
7.06,206.63,0.26
7.07,200.86,0.2
7.08,200.43,0.1
7.09,204.01,0.03
7.1,207.58,0.07
7.11,211.16,0.08
7.12,214.73,0.07
7.13,218.31,0.06
7.14,221.88,0.08
7.15,216.09,0.19
7.16,209.84,0.25
7.17,204.94,0.23
7.18,193.8,0.17
7.19,191.42,0.09
7.2,193.54,0.06
7.21,198.92,0.03
7.22,206.29,0.01
7.23,207.99,0
7.24,206.73,0
7.25,205.47,0
7.26,204.21,0
7.27,202.95,0.07
7.28,201.69,0.2
7.29,200.55,0.25
7.3,197.93,0.22
7.31,202.37,0.2
7.32,202.94,0.21
7.33,200.4,0.21
7.34,198.78,0.21
7.35,197.16,0.21
7.36,195.45,0.21
7.37,192.11,0.2
7.38,186.33,0.15
7.39,178.88,0.09
7.4,102.99,0.04
7.41,147.42,0.01
7.42,179.05,0.01
7.43,104.52,0
7.44,163.07,0.04
7.45,162.38,0.05
7.46,129.48,0.04
7.47,152.99,0.05
7.48,97.54,0.05
7.49,112.91,0.04
7.5,83.99,0.03
7.51,55.03,0.02
7.52,173.32,0.09
7.53,215.39,0.21
7.54,210.79,0.29
7.55,212.31,0.3
7.56,214.02,0.29
7.57,214.1,0.27
7.58,213.49,0.25
7.59,212.15,0.25
7.6,211.35,0.25
7.61,210.95,0.25
7.62,211.96,0.25
7.63,213.4,0.26
7.64,214.92,0.29
